Case,Layer,Latent_ID,AUC,InterPro ID,InterPro Name,A_in,A_out,Delta_In_Out,L2FC,Bonferroni adj. p-value
MetX,16,3765,0.9871079921722412,IPR027387,Cytochrome b/b6-like domain superfamily,5.688910484313965,0.4059791564941406,5.282931327819824,3.8086392879486084,8.367783991969258e-23
MetX,16,3765,0.988231360912323,IPR036150,"Cytochrome b/b6, C-terminal domain superfamily",5.820616245269775,0.40558284521102905,5.415033340454102,3.8430676460266113,6.128739889841287e-23
MetX,16,3765,0.9735758900642395,IPR036259,MFS transporter superfamily,4.652187347412109,0.4005698561668396,4.251617431640625,3.537747383117676,0.0
MetX,16,3879,0.9915329217910767,IPR008271,"Serine/threonine-protein kinase, active site",8.623828887939453,1.8489357233047485,6.774893283843994,2.221625566482544,1.9079419127810546e-26
MetX,16,3879,0.9901086688041687,IPR017441,"Protein kinase, ATP binding site",8.40163516998291,1.8520724773406982,6.549562454223633,2.1815216541290283,2.2360351105341417e-24
MetX,16,3879,0.9651191830635071,IPR018171,"Peptidyl-tRNA hydrolase, conserved site",5.65606689453125,1.8781204223632812,3.7779464721679688,1.5905020236968994,0.015991967171430588
MetX,16,3879,0.9516659379005432,IPR031157,"Tr-type G domain, conserved site",5.2035956382751465,1.865471601486206,3.3381240367889404,1.4799606800079346,1.894521250230635e-23
MetX,16,3879,0.9916633367538452,IPR000719,Protein kinase domain,8.505324363708496,1.8421876430511475,6.6631364822387695,2.2069382667541504,2.2232984237345962e-33
MetX,16,3879,0.9648053646087646,IPR001279,Metallo-beta-lactamase,5.915041446685791,1.8704136610031128,4.044627666473389,1.6610232591629028,8.657661176511566e-13
MetX,16,3879,0.9739976525306702,IPR004160,"Translation elongation factor EFTu/EF1A, C-terminal",6.288763999938965,1.8762227296829224,4.412541389465332,1.7449376583099365,0.000448541744844988
MetX,16,3879,0.9658907651901245,IPR005225,Small GTP-binding domain,6.017704963684082,1.8305699825286865,4.187134742736816,1.7169126272201538,0.0
MetX,16,3879,0.982502818107605,IPR006073,GTP binding domain,7.338527202606201,1.8501372337341309,5.48838996887207,1.9878504276275635,2.636923000504693e-31
MetX,16,3879,0.9897519946098328,IPR024567,Ribonuclease HII/HIII domain,7.786262512207031,1.8723372220993042,5.9139251708984375,2.0560829639434814,4.492706466407981e-06
MetX,16,3879,0.9739976525306702,IPR033720,"Elongation factor Tu, domain 2",6.288763999938965,1.8762227296829224,4.412541389465332,1.7449376583099365,0.000448541744844988
MetX,16,3879,0.9739976525306702,IPR041709,"Elongation factor Tu (EF-Tu), GTP-binding domain",6.288763999938965,1.8762227296829224,4.412541389465332,1.7449376583099365,0.000448541744844988
MetX,16,3879,0.9651191830635071,IPR001328,Peptidyl-tRNA hydrolase,5.65606689453125,1.8781204223632812,3.7779464721679688,1.5905020236968994,0.015991967171430588
MetX,16,3879,0.9897519946098328,IPR001352,Ribonuclease HII/HIII,7.786262512207031,1.8723372220993042,5.9139251708984375,2.0560829639434814,4.492706466407981e-06
