Case,Layer,Latent_ID,AUC,InterPro ID,InterPro Name,A_in,A_out,Delta_In_Out,L2FC,Bonferroni adj. p-value
2pkea,24,1869,0.9780944585800171,IPR019984,"Small ribosomal subunit protein uS17, bacteria/chloroplast",9.3046875,3.9220974445343018,5.382590293884277,1.246328592300415,4.948290097672725e-06
2pkea,24,1869,0.9766716957092285,IPR020599,Translation elongation factor P/YeiP,9.236719131469727,3.925433874130249,5.311285018920898,1.2345247268676758,0.02396584488451481
2pkea,24,1869,0.9695065021514893,IPR021137,Large ribosomal subunit protein bL35-like,8.804491996765137,3.9236390590667725,4.880852699279785,1.1660436391830444,5.354071981855668e-05
2pkea,24,1869,0.9603679180145264,IPR023016,HisA/PriA,8.447265625,3.9257140159606934,4.521551609039307,1.1055257320404053,0.0073003810830414295
2pkea,24,1869,0.9744904637336731,IPR024909,Cysteinyl-tRNA synthetase/mycothiol ligase,9.105676651000977,3.925111770629883,5.180564880371094,1.2140288352966309,0.007315521594136953
2pkea,24,1869,0.9617645144462585,IPR044524,"Histidine biosynthesis, HisA-like",8.521809577941895,3.9251270294189453,4.596682548522949,1.1184167861938477,0.0017361586214974523
2pkea,24,1869,0.9695065021514893,IPR037229,Large ribosomal subunit protein bL35 superfamily,8.804491996765137,3.9236390590667725,4.880852699279785,1.1660436391830444,5.354071981855668e-05
2pkea,24,1917,0.9512660503387451,IPR020003,"ATPase, alpha/beta subunit, nucleotide-binding domain, active site",3.93208646774292,1.291500449180603,2.6405858993530273,1.6062357425689697,8.784087416864941e-16
2pkea,24,1917,0.9778964519500732,IPR018181,"Heat shock protein 70, conserved site",5.050322532653809,1.294439435005188,3.75588321685791,1.9640369415283203,2.785402557492489e-06
2pkea,24,1917,0.9547214508056641,IPR031157,"Tr-type G domain, conserved site",4.0115885734558105,1.28706955909729,2.7245190143585205,1.6400723457336426,2.3266691148720205e-24
2pkea,24,1917,0.9512660503387451,IPR000194,"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain",3.93208646774292,1.291500449180603,2.6405858993530273,1.6062357425689697,8.784087416864941e-16
2pkea,24,1917,0.9509949088096619,IPR000793,"ATP synthase, alpha subunit, C-terminal",3.944751024246216,1.2959697246551514,2.6487812995910645,1.6058911085128784,1.6536213252038579e-06
2pkea,24,1917,0.9559602737426758,IPR000795,Translational (tr)-type GTP-binding domain,4.03469181060791,1.2830653190612793,2.751626491546631,1.6528526544570923,3.2269670918773437e-32
2pkea,24,1917,0.955597460269928,IPR001048,Aspartate/glutamate/uridylate kinase,4.195554256439209,1.292164921760559,2.9033894538879395,1.6990599632263184,6.811436722813091e-13
